dates;tmean;tmin;tmax;prec;globrad;vappres;windspeed
2019-06-13;18.1570138888889;11.83;25.19;0;27.6261444;1.12957946868074;1.08204166666667
2019-06-14;19.2251388888889;9.5;28.91;0;23.8287774;0.92934000554417;0.868163194444444
2019-06-15;19.4006944444444;13.3;26.24;0.6;16.7429943;1.25696424065997;0.724444444444444
2019-06-16;19.7473611111111;12.28;27.55;0;23.8660638;1.09584013470828;0.681385416666667
2019-06-17;17.2850694444444;11.72;25.37;0.6;20.1651687;1.12946935705442;0.738319444444444
2019-06-18;15.7754166666667;10.07;26.85;3.2;19.9811937;1.33683625227874;0.385708333333333
2019-06-19;15.2305555555556;10.14;22.66;5.2;18.2566272;1.47558925494894;0.338913194444444
2019-06-20;16.6874652777778;9.57;25.74;1.2;20.4607935;1.29106613776158;1.07509722222222
2019-06-21;13.9535416666667;10.37;20.03;6.6;12.0123672;1.42676504450447;0.560166666666667
2019-06-22;12.5501388888889;9.65;16.47;4.8;8.5617213;1.39665614674982;0.1495625
2019-06-23;15.8458680555556;8.49;23.77;0.2;19.8543054;1.31859958090929;0.259885416666667
2019-06-24;19.7622569444444;11.16;28.14;0;28.3591635;1.40582099848862;0.735822916666667
2019-06-25;22.3086458333333;15.27;29.99;0;26.6627382;1.71622848242553;0.567475694444444
2019-06-26;24.1513888888889;16.31;32.61;0;25.5227997;1.88706832785494;0.581211805555556
2019-06-27;26.1095138888889;17;34.99;0;26.4735411;1.23783237725965;0.711055555555556
2019-06-28;25.360625;18.62;32.06;0;27.2324778;1.14414642156254;1.04110763888889
2019-06-29;22.0151388888889;14.29;29.84;0;26.5314654;1.21147870302734;0.8444375
2019-06-30;22.52125;14.79;31.76;0;22.4411937;1.52454034686747;0.546475694444444
2019-07-01;18.8815277777778;13.39;30.28;0.8;13.2142452;1.54009704984053;1.50510069444444
2019-07-02;17.5085763888889;12.02;26.32;2;16.8674847;1.47073014659341;0.225743055555556
2019-07-03;14.3285069444444;10.95;23.11;14.8;7.8300792;1.49920309160747;0.126340277777778
2019-07-04;16.4544444444444;8.99;25.83;1.4;23.3072082;1.42453608643376;0.515159722222222
2019-07-05;19.5104513888889;11.46;28.82;0.2;22.4559759;1.50266955160429;0.709489583333333
2019-07-06;19.3673263888889;13.09;28.55;2.6;20.4231339;1.58174729579195;0.562489583333333
2019-07-07;16.1677430555556;10.83;23.5;1.4;16.6127118;1.42451066899857;0.472916666666667
2019-07-08;16.6751736111111;10.56;23.13;0;15.1497609;1.20302853816873;0.142628472222222
2019-07-09;15.3564236111111;11.86;22.03;9.2;11.9466627;1.42643180258813;0.140420138888889
2019-07-10;16.1113194444444;10.07;23.44;0.2;27.738708;1.26830161436624;0.537944444444444
2019-07-11;13.6713194444444;9.13;20.04;2.4;15.9922359;1.23208770086013;0.289597222222222
2019-07-12;13.7210416666667;9.2;21.37;1.6;18.0436476;1.29078034511771;0.3731875
2019-07-13;15.7379513888889;9.42;21.18;0;24.8497362;0.905836125411111;1.73077430555556
2019-07-14;14.6884375;9.32;21.82;0.2;17.5574298;0.909530778654508;0.258569444444444
2019-07-15;13.2887152777778;9.61;20.04;2.4;13.216338;1.2091554989726;0.282586805555556
2019-07-16;15.4678819444444;7.5;23.91;0.2;24.375255;1.1348380595102;0.449447916666667
2019-07-17;15.088125;9.77;24.88;24.6;17.4001152;1.28408567904623;0.346361111111111
2019-07-18;14.6778819444444;9.88;20.96;4.2;16.8659586;1.31502457524598;0.308496527777778
2019-07-19;16.0144791666667;10.91;22.03;0.4;13.9667409;1.36805677479163;0.0224722222222222
2019-07-20;18.4537152777778;11.55;26.23;5.2;23.1758538;1.50579224599158;0.898451388888889
2019-07-21;16.8792708333333;10.89;25.14;2.4;18.8583429;1.56699757776644;0.261520833333333
2019-07-22;20.1340972222222;12.77;27.7;0;23.166132;1.52774622520555;0.31540625
2019-07-23;22.0152430555556;14.37;29.81;0;24.6053346;1.61829605472647;0.496142361111111
2019-07-24;21.8372916666667;16.16;31.22;0.4;20.9890239;1.90794265879832;0.289239583333333
2019-07-25;20.3677083333333;16.14;30.5;2.8;13.5534381;1.95546060958466;0.8945625
2019-07-26;17.9648611111111;13.79;27.4;14.4;15.2559861;1.62337269838983;0.724892361111111
2019-07-27;16.1180902777778;11.32;25.11;2.2;19.3441083;1.53141326699568;0.514413194444444
2019-07-28;13.8086111111111;11.56;16.51;9;6.7806951;1.53647006759393;0.0148020833333333
2019-07-29;17.5228472222222;12.87;24.84;1.6;16.7905356;1.67278924192325;0.210034722222222
2019-07-30;18.2541666666667;13.15;26.7;6;19.2568194;1.67047457891895;0.611885416666667
2019-07-31;15.9109375;12.11;23.22;3.2;14.9009292;1.56380315846201;0.150666666666667
2019-08-01;17.9523263888889;11;25.62;0.2;20.3434056;1.4850746092814;0.334809027777778
2019-08-02;14.8131597222222;10.17;21.07;10.8;10.0635579;1.51733293252453;0.420284722222222
2019-08-03;15.2406944444444;7.75;23.18;0.2;19.6095279;1.17051853826997;0.0822465277777778
2019-08-04;16.5092013888889;9.57;24.52;0;22.1605257;1.11326730822197;0.455465277777778
2019-08-05;16.6880208333333;12.23;25.07;6.6;18.1584915;1.55128630148674;0.323989583333333
2019-08-06;16.2698611111111;12.48;25.2;16.8;15.9542145;1.63063063905747;0.519197916666667
2019-08-07;16.2801388888889;11.59;23.23;3.2;14.3039346;1.57890163009011;0.584006944444444
2019-08-08;18.1317708333333;11.77;24.49;0;18.6057744;1.59720908088922;0.220104166666667
2019-08-09;19.8770138888889;12.93;28.3;0;22.4294373;1.69793409363364;0.381576388888889
2019-08-10;21.0386111111111;14.52;28.2;0;22.3777398;1.89498802703156;0.517222222222222
2019-08-11;21.5708333333333;17.51;27.44;0;17.8923933;1.86891052654085;0.6001875
2019-08-12;18.2978819444444;14.18;25.46;3.2;11.9891046;1.67479965830029;0.562225694444444
2019-08-13;18.0621527777778;12.55;25.7;0.4;20.8037568;1.45526440707306;0.769434027777778
2019-08-14;14.6594097222222;9.74;21.37;0.4;16.4306292;1.19537301368166;0.492645833333333
2019-08-15;14.7084027777778;10.51;21.25;23.2;16.4388465;1.27270347747934;0.176076388888889
2019-08-16;14.0442361111111;8.83;20.33;1;16.7904402;1.24564831089486;0.129399305555556
2019-08-17;15.2727430555556;9.31;22.03;0;15.3190875;1.34827026347178;0.301107638888889
2019-08-18;17.8291319444444;10.65;25.79;0;23.0830398;1.5707394667;0.611184027777778
2019-08-19;17.6996875;14.08;23.92;1.8;12.7978251;1.71200765757589;0.21484375
2019-08-20;18.2885069444444;13.33;25.08;0;13.4424558;1.5713644289878;0.189284722222222
2019-08-21;17.9298958333333;13.83;25.23;7.8;16.5437646;1.59312303955071;0.541197916666667
2019-08-22;16.7054513888889;12.57;22.4;0.6;14.0204802;1.55315811682783;0.269010416666667
2019-08-23;16.5763541666667;13.29;22.61;0;10.5693201;1.49286246677707;0.098625
2019-08-24;16.4812847222222;12.62;22.63;0;12.5438244;1.45658958464969;0.140326388888889
